SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"rse-stellenangebote.de","-","-","PH: -","",0,"","","","",""
2,"regional.jobb","-","-","PH: -","",0,"","","","",""
3,"web2.cylex.de","-","-","PH: -","",0,"","","","",""
4,"klempner-verbund.de","deutschland@klempner-verbund.de","Unknown","PH: 042114629144","",0,"","","","",""
5,"klempner-verband.de","-","-","PH: +493022011777","",0,"","","","",""
6,"baehr-muenchen.de","-","-","PH: 0894550310","",0,"","","","",""
7,"nchen.de","-","-","PH: -","Software Development",0,"","","","",""
8,"home.meinestadt.de","-","-","PH: -","Schools & Education",0,"","","","",""
9,"klempner.flink-rohrreinigung.de","-","-","PH: 491752169288, 01752169288","",0,"https://www.facebook.com/privacy/explanation","https://twitter.com/privacy","","",""
10,"muenchner-klempner.de","-","-","PH: +49089544160112","",0,"","","","",""
11,"11880.com","-","-","PH: -","",67740,"http://www.facebook.com/11880com","","","",""
12,"sanitaer-notdienst-muenchen.de","info@handwerkervermittlung24.com","Unknown","PH: 498989674940, +4989120895620","Software Development",0,"","","","",""
13,"sanitaer-notdienst-muenchen.de","service@dfh-gmbh.net","Unknown","PH: 498989674940, +4989120895620","Software Development",0,"","","","",""
14,"blauarbeit.de","support@portalunited.com","Business Mail","PH: 022139090122","",422236,"https://de-de.facebook.com/blauarbeit/","https://twitter.com/blauarbeit","https://www.youtube.com/channel/uctseizfvcj7schgubmbgqzg","",""
15,"kennstdueinen.de","-","-","PH: -","",121081,"https://www.facebook.com/pages/wwwkennstdueinende/95585125829","https://twitter.com/kennstdueinen","","",""
16,"installateur-allach.de","-","-","PH: +498999148545","",0,"","","","",""
17,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
18,"sanitaer-spanner.de","info@sanitaer-spanner.de","Unknown","PH: ","",0,"","","","",""
19,"sanitaerhilfe-vorort.de","jobs@sanitaer%68ilfe-vo%72%6f%72%74.de","Unknown","PH: 015161081661","",0,"","","","",""
20,"jobijoba.de","-","-","PH: -","Schools & Education",0,"http://www.facebook.com/jobijoba.deutschland","http://twitter.com/jobijoba_de","","","http://pinterest.com/jobijobajobs"
21,"ausbildungsstellen.de","-","-","PH: -","",982347,"","","","",""
22,"handwerker-123.de","-","-","PH: -","",0,"","","","",""
23,"immotech-klempner-muenchen.de","hilfe@immotech-klempner-muenchen.de","Unknown","PH: +498999148545","",0,"https://www.facebook.com/klempner-m%c3%bcnchen-habermann-111318641619091","","","",""
24,"allwartung.de","info@allwartung.de","Unknown","PH: +4989638930890","",0,"https://de-de.facebook.com/allwartung/","","","",""
25,"mister-rohrreinigung.de","info@mister-rohrreinigung.de","Unknown","PH: 015162740764, +4915162740764","Software Development",0,"","","","",""
26,"dein-heizungsbauer.de","-","-","PH: +498751741183","",0,"","","","",""
27,"klempner-vorort.de","kontakt@klempner-vorort.de","Business Mail","PH: 015161133280","",0,"","","","",""
28,"bihz.de","kontakt@bihz.de","Hotmail","PH: +4989122232922, +4987143058970","",0,"https://www.facebook.com/handwerkerzentrale/","","","",""
29,"bihz.de","info@bihz.de","Hotmail","PH: +4989122232922, +4987143058970","",0,"https://www.facebook.com/handwerkerzentrale/","","","",""
30,"abflussblitz.de","info@abflussblitz.de","Hotmail","PH: 0896302800, 08001124777","",0,"https://www.facebook.com/abflussblitzgmbh","","","",""
31,"abflussblitz.de","bewerbung@abflussblitz.de","Hotmail","PH: 0896302800, 08001124777","",0,"https://www.facebook.com/abflussblitzgmbh","","","",""
32,"installateur-muenchen-schwabing.de","-","-","PH: +498960807352","Software Development",0,"","","","",""
33,"helpling.de","kontakt@helpling.de","Gsuit","PH: ","",310286,"https://www.facebook.com/helpling","","","",""
34,"kimeta.de","mail@kimeta.de","Business Mail","PH: ","Schools & Education",229325,"","","","",""
35,"rsb-abwassertechnik.de","-","-","PH: +491786364241","",0,"https://www.facebook.com/abwassertechnik.rsb","https://twitter.com/rsbabwassertech","","",""
36,"rohrreinigung-muenchen.de","anfrage@rohrreinigung-muenchen.de","Unknown","PH: ","",0,"","","","",""
37,"klempner-notdienst-muenchen.de","-","-","PH: 08921528410","",0,"","","","",""
38,"rohrarzt.de","rohrarzt@rohrarzt.de","Hotmail","PH: 089754535","",0,"https://www.facebook.com/rohrreinigung-rohrarzt-m%c3%bcnchen-1530697620529602/","","","",""
39,"sanitaerprofis-muenchen.de","info@handwerkervermittlung24.com","Unknown","PH: 08912089355, 069643509368","",0,"","https://twitter.com/sanitaerpromuc","https://www.youtube.com/channel/uc9d1_puuedwbpcirqv839ma","",""
40,"sanitaerprofis-muenchen.de","service@gmbh-seibel.de","Unknown","PH: 08912089355, 069643509368","",0,"","https://twitter.com/sanitaerpromuc","https://www.youtube.com/channel/uc9d1_puuedwbpcirqv839ma","",""
41,"mux.de","-","-","PH: -","Restaurants",415884,"","","","",""
42,"gelbeseiten.de","-","-","PH: -","",32843,"","","","",""
43,"dastelefonbuch.de","-","-","PH: -","",52767,"https://www.facebook.com/dastelefonbuch","https://www.twitter.com/dastelefonbuch","","",""
44,"11880-heizung.com","-","-","PH: 0800-1188021","",0,"https://www.facebook.com/11880com","https://twitter.com/11880com","","",""
