SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"de.linkedin.com","-","-","PH: -","Schools & Education",1889,"","","","https://de.linkedin.com/jobs",""
2,"hano-kuechen.de","-","-","PH: -","",0,"","","","",""
3,"diekuechedirekt.de","kundenanfragen@diekuechedirekt.de","Unknown","PH: 0800-20060950, 080020060950","",0,"https://www.facebook.com/diek%c3%bcchedirektde-188250478558749/","","","",""
4,"diekuechedirekt.de","info@diekuechedirekt.de","Unknown","PH: 0800-20060950, 080020060950","",0,"https://www.facebook.com/diek%c3%bcchedirektde-188250478558749/","","","",""
5,"foodwissen.de","-","-","PH: -","Restaurants",0,"","","","",""
6,"alma-kuechen.de","-","-","PH: -","",0,"https://de-de.facebook.com/almakuechen/","","http://www.youtube.com/user/almakuechen","",""
7,"derkuechentreff-dilling.de","info@derkuechentreff-dilling.de","Unknown","PH: ","Software Development",0,"","","","",""
8,"ihm.de","kontakt@ghm.de","Hotmail","PH: ","",344529,"https://www.facebook.com/internationalehandwerksmesse","","https://www.youtube.com/user/handwerksmesse","",""
9,"sueddeutsche.de","kontakt@sueddeutsche.de","Hotmail","PH: ","",1225,"https://www.facebook.com/ihre.sz/","https://twitter.com/sz","","",""
10,"studio26dachau.de","info@studio26dachau.de","Hotmail","PH: 081313601600","",0,"https://www.facebook.com/studio-26-gmbh-co-kg-100830701314198/","","","",""
11,"marquardt-kuechen.de","info@marquardt-kuechen.de","Hotmail","PH: 08001331330","",894788,"https://www.facebook.com/marquardtkuechen","","https://www.youtube.com/user/marquardtkuechen","https://www.linkedin.com/company/marquardtkuechen",""
12,"kuechen-max.de","-","-","PH: -","",0,"https://www.facebook.com/kuechen.max","","https://www.youtube.com/channel/ucv5jeeoixqi1k2p-klfepzg","",""
13,"derkuechentreff.de","-","-","PH: -","Software Development",0,"","","","",""
14,"renovierungmuc.de","info@renovierungmuc.de","Unknown","PH: ","Arts",0,"https://www.facebook.com/renovierungsservicemuenchenost/","","","",""
15,"gastrototal.com","-","-","PH: -","",0,"https://www.facebook.com/gastrototale","","","https://www.linkedin.com/company/gastrototal/",""
16,"schmidbauer-kuechen.de","franz@schmidbauer-kuechen.de","Unknown","PH: 09448/920950","",0,"https://www.facebook.com/schmidbauer-k%c3%bcchen-113478000071201/","","","",""
17,"grimm-kuechen.de","-","-","PH: +497621705010, +4976679066380, +497614569690, +497251358460, +4972166249970, +497812840570, +4972227748530, +497751896670","Arts",0,"https://www.facebook.com/grimm.kuechen/","","https://www.youtube.com/user/grimmkuechen","",""
18,"next125.com","-","-","PH: -","",891724,"https://www.facebook.com/next125/","","https://www.youtube.com/channel/ucu_xeajr7v2kxodnyawc_xa","",""
19,"wieser-kuechen.de","info@mju.de","Business Mail","PH: +49814126001","Arts",0,"https://www.facebook.com/wieserkuechen/","","https://www.youtube.com/user/wieserkuechen","",""
20,"palux.de","-","-","PH: -","",0,"","","","",""
21,"plana.de","-","-","PH: -","",612701,"https://www.facebook.com/plana.kuechenland","https://twitter.com/intent/tweet","","","https://pinterest.com/pin/create/button/"
22,"kuechen-knauseder.de","-","-","PH: -","Arts",0,"","","","",""
23,"ballerina.de","webkontakt@ballerina.de","Business Mail","PH: ","Arts",0,"https://de-de.facebook.com/ballerinakuechen","","","","https://de.pinterest.com/ballerinakchenh/"
24,"gutsmann-kuechen.de","gutsmann@kuechen-sachsen.de","Business Mail","PH: 035912702144","",0,"https://www.facebook.com/gutsmannkuechen/","","https://www.youtube.com/channel/ucxiotnhewihedlhte10oh5w","",""
25,"leicht.com","info@leicht.de","Business Mail","PH: ","",288126,"","","","",""
26,"asmo.de","neufahrn@asmo.de","Gsuit","PH: ","",0,"https://l.facebook.com/l.php","","","",""
27,"asmo.de","landshut@asmo.de","Gsuit","PH: ","",0,"https://l.facebook.com/l.php","","","",""
28,"asmo.de","ingolstadt@asmo.de","Gsuit","PH: ","",0,"https://l.facebook.com/l.php","","","",""
29,"asmo.de","muenchen@asmo.de","Gsuit","PH: ","",0,"https://l.facebook.com/l.php","","","",""
30,"asmo.de","unterhaching@asmo.de","Gsuit","PH: ","",0,"https://l.facebook.com/l.php","","","",""
31,"haecker-kuechen.com","-","-","PH: -","",0,"https://de-de.facebook.com/haeckerkuechengmbh/","","","https://www.linkedin.com/company/h%c3%a4cker-k%c3%bcchen-gmbh-&-co-kg/",""
32,"arve-einrichtung.de","nasentra@qviv.gb","Unknown","PH: +49894549070","",0,"https://www.facebook.com/arve.interior","","","",""
33,"berlincuisine.de","contact@berlincuisine.de","Unknown","PH: ","",0,"","","","",""
34,"isabel-schiermeier.de","diekueche@isabel-schiermeier.de","Unknown","PH: 0170/8600207","",0,"https://www.facebook.com/die-küche-isabel-schiermeier-1648107335450235/","","","",""
35,"kuechenheld.de","-","-","PH: 004930403674940, +4930403674940","Software Development",0,"https://www.facebook.com/kuechenheld.de","","","https://www.linkedin.com/company/kuechenheld/",""
