SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"german-architects.com","-","-","PH: -","",306213,"","","","",""
2,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
3,"dotzler-bauunternehmung.de","-","-","PH: -","",0,"","","","",""
4,"auftragsbank.de","-","-","PH: -","",0,"","","","",""
5,"muenchen-ausstellungen.de","-","-","PH: -","Schools & Education",0,"","http://twitter.com/intent/tweet","","",""
6,"kennstdueinen.de","-","-","PH: -","",121081,"https://www.facebook.com/pages/wwwkennstdueinende/95585125829","https://twitter.com/kennstdueinen","","",""
7,"hoenninger.de","info@hoenninger.de","Unknown","PH: ","",0,"https://www.facebook.com/ehönninger-108499795022059/","","https://www.youtube.com/channel/ucfwnyno447yairxsh48hi7q","",""
8,"gehaltsvergleich.com","-","-","PH: -","",272298,"https://www.facebook.com/gehaltsvergleich/"," https://twitter.com/gehaltsvergl","","",""
9,"gelbeseiten.de","-","-","PH: -","",32843,"","","","",""
10,"kimeta.de","mail@kimeta.de","Business Mail","PH: ","Schools & Education",229325,"","","","",""
11,"literaturhaus-muenchen.de","-","-","PH: -","",323518,"https://www.facebook.com/literaturhausmuenchen","https://twitter.com/lithausmuc","","https://de.linkedin.com/company/literaturhaus-m%c3%bcnchen","https://www.pinterest.com/pin/create/link/"
12,"hwk-muenchen-bildung.de","-","-","PH: -","",0,"","","","",""
13,"residenztheater.de","-","-","PH: -","",312683,"https://www.facebook.com/residenztheater/","https://twitter.com/residenztheater","https://www.youtube.com/channel/ucw034aqaw0lrr4djmb3rdfq","",""
14,"blauarbeit.de","info@blauarbeit.de","Business Mail","PH: 022139090122","",422236,"https://de-de.facebook.com/blauarbeit/","https://twitter.com/blauarbeit","https://www.youtube.com/channel/uctseizfvcj7schgubmbgqzg","",""
15,"blauarbeit.de","support@portalunited.com","Business Mail","PH: 022139090122","",422236,"https://de-de.facebook.com/blauarbeit/","https://twitter.com/blauarbeit","https://www.youtube.com/channel/uctseizfvcj7schgubmbgqzg","",""
16,"kuc-gmbh.de","info@kuc-gmbh.de","Business Mail","PH: ","",0,"","","","",""
17,"claudiamaurer.de","-","-","PH: -","Software Development",0,"","","","",""
18,"crew-united.com","-","-","PH: -","Software Development",66621,"","","","",""
