SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
2,"soellner-und-sohn.de","info@soellner-und-sohn.de","Unknown","PH: ","",0,"","","","",""
3,"de.indeed.com","-","-","PH: -","",0,"","","","",""
4,"eg-bedachungen.de","egbedachungen@gmail.com","Gmail","PH: 089-18957243, +498918957243","Printing",0,"","","","",""
5,"spenglerei-arnold.de","-","-","PH: -","",0,"","","","",""
6,"dachdecker-hecht-muenchen.de","info@dachdecker-hecht-muenchen.de","Unknown","PH: ","",0,"","","","",""
7,"eckerthomas.de","eckerthomas@t-online.de","Business Mail","PH: 0813182202","",0,"https://www.facebook.com/pages/die-dachdecker-thomas-ecker-gmbh/299274306809190","","","",""
8,"dach-strobl.de","kontakt@dach-strobl.de","Unknown","PH: +490898631111","",0,"","","","",""
9,"dach-mititelu.de","info@dach-mititelu.de","Unknown","PH: ","",0,"","","","",""
10,"dach-mititelu.de"," info@dach-mititelu.de","Unknown","PH: ","",0,"","","","",""
11,"koechelgmbh.de","koechelgmbh@gmx.de","GMX","PH: ","",0,"","","","",""
12,"dachdeckerei-niedermeier.de","rudi.niedermeier@freenet.de","Freenet","PH: +49898114873, +491717779423","",0,"","https://twitter.com/kriesi","","",""
13,"dachdeckerei-niedermeier.de","niedermeier@freenet.de","Freenet","PH: +49898114873, +491717779423","",0,"","https://twitter.com/kriesi","","",""
14,"dachdecker-muenchen-bayern.de","-","-","PH: -","",0,"","","","",""
15,"sigl-bedachungen.de","info@sigl-bedachungen.de","Business Mail","PH: +49896114219","Arts",0,"https://de-de.facebook.com/erwinsiglgmbh/","","","",""
16,"horn-dachdecker.de","info@horn-dachdecker.de","Business Mail","PH: ","",0,"","","","",""
17,"dachdeckerinnung-obb.de","dachdeckerinnung@t-online.de","Business Mail","PH: ","",0,"","","","",""
18,"dachdeckerinnung-obb.de","dachderinnung@t-online.de","Business Mail","PH: ","",0,"","","","",""
19,"probst-bedachungen.de","walter@probst-bedachungen.de","Business Mail","PH: +49898991660","",0,"","","","",""
20,"probst-bedachungen.de","info@probst-bedachungen.de","Business Mail","PH: +49898991660","",0,"","","","",""
21,"schaeffler-dach.de","info@schaeffler-dach.de","Unknown","PH: +4989487283","",0,"","","","",""
22,"spenglerei-woellner.de","info@spenglerei-woellner.de","Unknown","PH: ","",0,"","","","",""
23,"jfgerhard.de","info@jfgerhard.de","Unknown","PH: +498102784868","",0,"https://www.facebook.com/pages/jfgerhard-bedachungen-gmbh/186071384816470","","","",""
24,"gelbeseiten.de","-","-","PH: -","",32843,"","","","",""
25,"dachtechnik-kaiser.de","vasb@qnpugrpuavx-xnvfre.qr","Unknown","PH: +4981057989117","Software Development",0,"","","","",""
26,"11880-dachdecker.com","-","-","PH: -","",0,"https://www.facebook.com/11880com","","","",""
27,"dachdeckerdirekt.de","info@dachdeckerdirekt.de","Unknown","PH: +49040228688402, +4940228688402, 040228688402","",0,"","","","",""
28,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
29,"liebl-bedachungen.de","info@liebl-bedachungen.de","Unknown","PH: +498932162742","",0,"","","","",""
30,"nersinger.de","info@nersinger.de","Unknown","PH: ","",0,"","","","",""
31,"dachdeckerei-saalbach.de","-","-","PH: -","",0,"https://www.facebook.com/meisterbetriebdachdeckerei/","","","",""
32,"dachdecker-hipper.de","info@dachdecker-hipper.de","Business Mail","PH: ","",0,"","","","",""
33,"dachdecker-hipper.de","sumamail@web.de","Business Mail","PH: ","",0,"","","","",""
34,"rummel-gmbh.info","kontakt@rummel-gmbh.info","Unknown","PH: ","",0,"","","","",""
35,"dachdeckerei-sigl.de","info@dachdeckerei-sigl.de","Unknown","PH: 004989969428","",0,"","","","",""
36,"dachdeckerei-sigl.de","info@company.com","Unknown","PH: 004989969428","",0,"","","","",""
37,"dachdecker.com","kundenservice@digitaleseiten.de","Gsuit","PH: ","",982449,"","","","",""
38,"clauss-bedachungen.de","info@clauss-bedachungen.de","Unknown","PH: 0891665022","",0,"https://www.facebook.com/j.clauss.gmbh/","","","",""
39,"clauss-bedachungen.de","buero@clauss-bedachungen.de","Unknown","PH: 0891665022","",0,"https://www.facebook.com/j.clauss.gmbh/","","","",""
40,"schaper-dachbau.de","info@schaper-dachbau.de","Unknown","PH: ","Software Development",0,"","","","",""
41,"dachdecker-muenchen.info","email@dachdecker-wagner.info","Unknown","PH: ","",0,"","","","",""
42,"hintermeier-dach.de","-","-","PH: -","",0,"","","","",""
43,"meister-siml.de","info@meister-siml.de","Business Mail","PH: +498960087785, +491717152527","",0,"","","","",""
44,"hds-muenchen.de","info@hds-muenchen.de","Unknown","PH: ","",0,"https://www.facebook.com/hds.muenchen.de/","","","",""
45,"dachdeckerei-jenewein.de","-","-","PH: +49893171922","",0,"","","","",""
46,"amd-dachdeckerei.de","info@amd-dachdeckerei.de","Unknown","PH: ","",0,"https://www.facebook.com/amd.gmbh/","","https://www.youtube.com/channel/uc1nelxh6s0_sxntifgl9jlw/videos","",""
