SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"de.indeed.com","-","-","PH: -","",0,"","","","",""
2,"kuechenbau-muenchen.de","info@kuechenbau-muenchen.de","Unknown","PH: ","",0,"https://www.facebook.com/pg/gössler-küchenbau-münchen-558919940952867","","","",""
3,"muenchen.de","-","-","PH: -","",5937,"https://www.facebook.com/muenchen","https://twitter.com/muenchen","https://www.youtube.com/user/muenchendevideos","",""
4,"voss-muenchen.de","-","-","PH: -","",0,"","","","",""
5,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
6,"dkmontage.de","-","-","PH: -","Arts",0,"","","","",""
7,"erding-kuechen.de","-","-","PH: -","",0,"","","","",""
8,"loechle.de","zentrale@loechle.de","Hotmail","PH: ","",0,"","","","",""
9,"dross-schaffer.com","ludwig6@dross-schaffer.com","Unknown","PH: +49892866800, +498928668028","Arts",0,"","","","",""
10,"diekuechedirekt.de","kundenanfragen@diekuechedirekt.de","Unknown","PH: 0800-20060950, 080020060950","",0,"https://www.facebook.com/diek%c3%bcchedirektde-188250478558749/","","","",""
11,"diekuechedirekt.de","info@diekuechedirekt.de","Unknown","PH: 0800-20060950, 080020060950","",0,"https://www.facebook.com/diek%c3%bcchedirektde-188250478558749/","","","",""
12,"3er.de","info@3er.de","Unknown","PH: 0049894560380","Arts",0,"https://www.facebook.com/profile.php","","","",""
13,"3er.de","info@fullhaus.de","Unknown","PH: 0049894560380","Arts",0,"https://www.facebook.com/profile.php","","","",""
14,"kuechen-design-muenchen.de","-","-","PH: -","Arts",0,"","","","",""
15,"moebelhaus-zimmermann.de","info@romanek.com","Unknown","PH: ","Search Engine",0,"","","","",""
16,"kuechenbauer-shop.de","kuechenbau@t-online.de","Business Mail","PH: ","",0,"","","","",""
17,"raumwerkstaetten.de","kontakt@raumwerkstaetten.de","Hotmail","PH: ","",0,"https://www.facebook.com/raumwerkstaetten/","","","",""
18,"kitchenadvisor.de","-","-","PH: 040999994312","",0,"https://www.facebook.com/kitchenadvisor.de/","","","",""
19,"tischlerei-kirchmair.at","office@tischlerei-kirchmair.at","Business Mail","PH: +436642249542","Software Development",0,"","","","",""
20,"kuechen-dahl.de","info@dahl-kuechen.de","Unknown","PH: +498954035720, +08954035720","",0,"","","","",""
