SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"elektro-pongratz.de","-","-","PH: -","",0,"","","","",""
2,"ellecosta.de","ellecosta@aol.com","Yahoo Mail","PH: ","Software Development",0,"","","","",""
3,"de.indeed.com","-","-","PH: -","",0,"","","","",""
4,"elektro-spitzwieser.de","info@elektro-spitzwieser.de","Unknown","PH: ","",0,"","","","",""
5,"elektrosohr.de","info@elektrosohr.de","Unknown","PH: +491772340863","",0,"","","","",""
6,"elektrocede.de","info@elektrocede.de","Unknown","PH: ","",0,"","","","",""
7,"td-elektrotechnik.de","info@td-elektrotechnik.de","Unknown","PH: ","",0,"","","","",""
8,"elektro-fischer.de","info@elektro-fischer.de","Unknown","PH: ","",0,"","","","",""
9,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
10,"muenchner-elektriker.de","-","-","PH: +49089544160100","",0,"","","","",""
11,"sponton-muenchen.de","-","-","PH: 089533459","",0,"","","","",""
12,"kennstdueinen.de","-","-","PH: -","",121081,"https://www.facebook.com/pages/wwwkennstdueinende/95585125829","https://twitter.com/kennstdueinen","","",""
13,"wilhelm-elektroanlagen.de","-","-","PH: -","",0,"","","","",""
14,"diemuenchner.de","-","-","PH: -","",0,"","","","",""
15,"nchen.de","-","-","PH: -","Software Development",0,"","","","",""
16,"kuhn-elektro.de","info@kuhn-elektro.de","Unknown","PH: ","",0,"","","","",""
17,"elektroinnung-muenchen.de","info@elektroinnung-muenchen.de","Hotmail","PH: ","",0,"https://www.facebook.com/elektroinnungmuenchen/","https://twitter.com/ieimuenchen","https://www.youtube.com/channel/uc0qblrkhzznai37oydfwhqq/featured","",""
18,"intelligent-modernisieren.de","-","-","PH: -","",0,"","http://twitter.com/home/","","",""
19,"11880-elektriker.com","-","-","PH: -","",0,"https://www.facebook.com/11880com","","","",""
20,"macher-gmbh.de","info@macher-gmbh.de","Unknown","PH: +498972069457","",0,"","","","",""
21,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
22,"elektriker-vorort.de","-","-","PH: 015161135544","",0,"","","","",""
23,"gelbeseiten.de","-","-","PH: -","",32843,"","","","",""
24,"pittroff.de","info@pittroff.de","Hotmail","PH: +49899901880","",0,"https://www.facebook.com/pittroff-elektrotechnik-100945818443559","","","",""
25,"elektro-dendl.de","elektro@dendl.de","Unknown","PH: 089/931779","",0,"","","","",""
26,"elektro-goepfert.de","info@elektro-goepfert.de","Business Mail","PH: 089-89224936","",0,"https://www.facebook.com/elektrogoepfert","","","",""
27,"jobs.de","-","-","PH: -","Schools & Education",129781,"https://www.facebook.com/jobs.de/","https://twitter.com/karrieretipps","","",""
28,"stellenanzeigen.de","-","-","PH: -","Schools & Education",81867,"https://www.facebook.com/stellenanzeigen.de","","https://www.youtube.com/channel/uctfwccq7pbceizrud19rmqg","",""
29,"powerus.de","-","-","PH: -","Schools & Education",0,"https://www.facebook.com/joinpowerus","","","https://www.linkedin.com/company/power-us/",""
30,"wattundvolt.com","elektro@wattundvolt.com","Unknown","PH: 01715225961","Software Development",0,"","","","",""
31,"wattundvolt.com","elektro@wattundvolt.de","Unknown","PH: 01715225961","Software Development",0,"","","","",""
32,"hochschwendner.de","prym@hochschwendner.de","Unknown","PH: 0049892713366","Search Engine",0,"","","","",""
33,"elektriker-muenchen-24.de","info@toti24.de","Unknown","PH: +4989200081602","",0,"","https://twitter.com/el_muenchen24","","",""
34,"abold-gmbh.de","info@abold-gmbh.de","Hotmail","PH: ","",0,"https://www.facebook.com/aboldelektro/","","","",""
35,"helpling.de","kontakt@helpling.de","Gsuit","PH: ","",310286,"https://www.facebook.com/helpling","","","",""
36,"stepstone.de","-","-","PH: -","Schools & Education",21462,"https://www.facebook.com/stepstone.de","https://twitter.com/stepstone_de","","",""
37,"elektro-wieland.de","info@elektro-wieland.de","Unknown","PH: ","",0,"","","","",""
38,"elektro-wieland.de","ikanei@worefl-dln.etedo","Unknown","PH: ","",0,"","","","",""
39,"elektro-koeberle.de","info@elektro-koeberle.de","Unknown","PH: +498962489848","",0,"","","","",""
40,"elektro-binder.com","info@elektro-binder.com","Business Mail","PH: 089/9576464, 0172/8902835","",0,"","","","",""
41,"kg-elektrotechnik.de","info@kg-elektrotechnik.de","Unknown","PH: +491633091550","",0,"","","","",""
42,"manpower.de","-","-","PH: -","",386977,"https://www.facebook.com/manpowerdeutschland","https://twitter.com/manpowergroupde","","https://www.linkedin.com/company/manpowergroup-deutschland/",""
43,"jobs.meinestadt.de","-","-","PH: -","Schools & Education",0,"https://de-de.facebook.com/meinestadt.de/","https://twitter.com/meinestadt_de","","",""
44,"elektriker.de","-","-","PH: -","",0,"","","","",""
45,"profis.check24.de","umzug@check24.de","Business Mail","PH: ","",0,"","","","",""
46,"profis.check24.de","profis@check24.de","Business Mail","PH: ","",0,"","","","",""
47,"check24.de","-","-","PH: -","",21142,"","","","",""
48,"muenchen.de","-","-","PH: -","",5937,"https://www.facebook.com/muenchen","https://twitter.com/muenchen","https://www.youtube.com/user/muenchendevideos","",""
49,"joblift.de","-","-","PH: -","",517098,"","","","",""
50,"elektro-schwiebert.de","info@elektro-schwiebert.de","Unknown","PH: 089/46146748","",0,"","","","",""
51,"houzz.de","-","-","PH: -","",89541,"","","","",""
52,"dastelefonbuch.de","-","-","PH: -","",52767,"https://www.facebook.com/dastelefonbuch","https://www.twitter.com/dastelefonbuch","","",""
53,"klempnerundelektriker.com","-","-","PH: -","",0,"","","","",""
