SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"stiftung-maurer-soehne.de","-","-","PH: -","Schools & Education",0,"","","","",""
2,"de.indeed.com","-","-","PH: -","",0,"","","","",""
3,"de-dr-maurer.de","-","-","PH: -","",0,"","","","",""
4,"orthopaedie-shop.com","-","-","PH: -","",0,"","","","",""
5,"doctorjulianmaurer.com","-","-","PH: -","",0,"","","","",""
6,"maurerimmobilien.de","-","-","PH: -","",0,"","","","",""
7,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
8,"maurer-fenster.de","info@maurer-fenster.de","Unknown","PH: ","",0,"","","","",""
9,"holterman-fischer.de","info@ra-hk.de","Hotmail","PH: ","",0,"","","","",""
10,"verwaltung.physik.uni-muenchen.de","-","-","PH: -","",0,"","","","",""
11,"maurergw.de","treznajurryf@znhere.rh","Unknown","PH: ","",0,"","","","",""
12,"km-d.com","-","-","PH: -","Arts",0,"","","","",""
13,"maurer.eu","-","-","PH: -","Arts",890012,"","","","",""
14,"meisterschulen.de","-","-","PH: -","",0,"","","","",""
15,"cafe-mauerer.de","-","-","PH: -","",0,"","","","",""
16,"11880.com","-","-","PH: -","",67740,"http://www.facebook.com/11880com","","","",""
17,"ausbildungsmarkt.de","-","-","PH: -","",0,"","","","",""
18,"cs.hm.edu","-","-","PH: -","",0,"http://www.facebook.com/hochschulemuenchen","https://twitter.com/hmmuenchen","","https://www.linkedin.com/school/hochschule-muenchen",""
19,"immowelt.de","-","-","PH: -","",18815,"","","","",""
20,"maurermeistermuenchen.de","-","-","PH: +498921528266","",0,"","","","",""
21,"de.wikipedia.org","-","-","PH: -","",266,"","","","",""
22,"ingo-maurer.com"," info@ingo-maurer.com","Unknown","PH: ","Arts",122917,"","https://twitter.com/share","","",""
23,"ingo-maurer.com","info@ingo-maurer.com","Unknown","PH: ","Arts",122917,"","https://twitter.com/share","","",""
24,"handwerker-anzeiger.de","-","-","PH: -","",0,"","","","",""
25,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
26,"dasoertliche.de","-","-","PH: -","",46472,"https://www.facebook.com/pages/dasortliche/132038165608/","https://twitter.com/dasoertliche/","","",""
