SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"de.indeed.com","-","-","PH: -","",0,"","","","",""
2,"diegartenhelfer.de","-","-","PH: -","",0,"","","","",""
3,"gartenbau-kronenwetter.de","-","-","PH: -","",0,"","","","",""
4,"ulrikegaertner.de","-","-","PH: -","",0,"","","","",""
5,"robert-wolf-gartenbau.de","-","-","PH: -","",0,"","","","",""
6,"guerillagardeningmunich.weebly.com","-","-","PH: -","",0,"http://www.facebook.com/ggm.muc","","","",""
7,"edu.lmu.de","-","-","PH: -","",0,"","","","",""
8,"gartenbau-sherd.de","-","-","PH: -","",0,"","","","",""
9,"hs-gartenarchitektur.de","info@gartenbau-schweidler.de","Unknown","PH: ","",0,"","","","",""
10,"hs-gartenarchitektur.de","harald.schweidler@arcor.de","Unknown","PH: ","",0,"","","","",""
11,"hs-gartenarchitektur.de","schweidler@arcor.de","Unknown","PH: ","",0,"","","","",""
12,"borchert-gartenbau.de","post@borchert-gartenbau.de","Unknown","PH: ","",0,"","","","",""
13,"dick-gartenbau.de","-","-","PH: -","",0,"","","","",""
14,"gartenbau-pflugmacher.de","-","-","PH: -","",0,"","","","",""
15,"gartenbau-petermueller.de","info@gartenbau-petermueller.de","Mail.com","PH: ","Software Development",0,"","","","",""
16,"betterdoc.org","info@betterdoc.org","Gsuit","PH: ","",0,"https://www.facebook.com/betterdoc","https://twitter.com/betterdoc_org","","",""
17,"pflanzen-ries.de","gartencenter@pflanzen-ries.de","Unknown","PH: +49897596970","",0,"https://www.facebook.com/pflanzenries","","https://www.youtube.com/channel/uclq3vi_hdjsl4ak-9wem3ew","",""
18,"pflanzen-ries.de","galabau@pflanzen-ries.de","Unknown","PH: +49897596970","",0,"https://www.facebook.com/pflanzenries","","https://www.youtube.com/channel/uclq3vi_hdjsl4ak-9wem3ew","",""
19,"muenchen-klinik.de","-","-","PH: -","",233185,"https://www.facebook.com/muenchenklinik","https://twitter.com/muenchenklinik","https://www.youtube.com/user/klinikummuenchen","",""
20,"ausbildungsmarkt.de","-","-","PH: -","",0,"","","","",""
21,"ausbildungsstellen.de","-","-","PH: -","",982347,"","","","",""
22,"garten-mitschke.de","mitschke@garten-mitschke.de","Hotmail","PH: +123456789, 0898593477","",0,"","","","",""
23,"bs-gfv.musin.de","bs-gfv@muenchen.de","Business Mail","PH: ","",0,"","","","",""
24,"bs-gfv.musin.de","gfv@muenchen.de","Business Mail","PH: ","",0,"","","","",""
25,"f-gebhardt-gartenbau.de","gebhardt.florian@t-online.de","Business Mail","PH: 015152437663","",0,"","","","",""
26,"gaertnereihuber.de","flowers@gaertnereihuber.de","Unknown","PH: ","",0,"https://facebook.com/gaertnereihuber","","","",""
27,"kolpingmuenchen.de","-","-","PH: -","",0,"","","","",""
28,"mvzbogenhausen.de","-","-","PH: +08999890220","",0,"","","","",""
29,"gartenfischer.de","info@gartenfischer.de","Unknown","PH: +4989873862","",0,"http://www.facebook.com/gartenfischer","","","",""
30,"blumen-mehnert.de","info@blumen-mehnert.de","Unknown","PH: +4989931604","",0,"https://www.facebook.com/blumenmehnert/","http://twitter.com/share","","",""
31,"bundesaerztekammer.de","info@baek.de","Business Mail","PH: ","Electronics",29626,"","https://twitter.com/baekaktuell","https://www.youtube.com/user/baekclips","",""
32,"muenchen.de","-","-","PH: -","",5937,"https://www.facebook.com/muenchen","https://twitter.com/muenchen","https://www.youtube.com/user/muenchendevideos","",""
33,"verde-gartenbau.de","max.mustermann@gmail.com","Gmail","PH: 08950004711","",0,"","","","",""
34,"verde-gartenbau.de","mustermann@gmail.com","Gmail","PH: 08950004711","",0,"","","","",""
