SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"gartenbau-muenchen.com","schneider@gartenbau-muenchen.com","Business Mail","PH: ","",0,"","","","",""
2,"muenchen.de","-","-","PH: -","",5937,"https://www.facebook.com/muenchen","https://twitter.com/muenchen","https://www.youtube.com/user/muenchendevideos","",""
3,"de.wikipedia.org","-","-","PH: -","",266,"","","","",""
4,"dasoertliche.de","-","-","PH: -","",46472,"https://www.facebook.com/pages/dasortliche/132038165608/","https://twitter.com/dasoertliche/","","",""
5,"baumschule-boesel.de","baumschule-boesel@t-online.de","Business Mail","PH: ","",0,"","","","",""
6,"gartenbau-strobel.de","-","-","PH: -","",0,"","","","",""
7,"gartenpflege-moertl.de","-","-","PH: -","",0,"","","","",""
8,"natuerlichgruen-gartenbau.de","info@natuerlichgruen-gartenbau.de","Unknown","PH: +49(0)17620952445","",0,"https://de-de.facebook.com/natuerlichgruengartenbau/","","","",""
9,"natuerlichgruen-gartenbau.de"," info@natuerlichgruen-gartenbau.de","Unknown","PH: +49(0)17620952445","",0,"https://de-de.facebook.com/natuerlichgruengartenbau/","","","",""
10,"stepstone.de","-","-","PH: -","Schools & Education",21462,"https://www.facebook.com/stepstone.de","https://twitter.com/stepstone_de","","",""
11,"ebay-kleinanzeigen.de","-","-","PH: -","",5771,"https://www.facebook.com/ebaykleinanzeigen/","https://twitter.com/ebay_ka","https://www.youtube.com/user/ebaykleinanzeigen","",""
12,"gartenbau-hansl.de","info@gartenbau-hansl.de","Unknown","PH: ","",0,"","","","",""
13,"jameda.de","-","-","PH: -","",21307,"","","","",""
14,"gartenbau-scharf-muenchen.de","gartenbau@scharf.gmbh","Business Mail","PH: +491773029224","",0,"","","","",""
15,"werkenntdenbesten.de","button@click.pre","Unknown","PH: ","",263704,"https://www.facebook.com/werkenntdenbesten.de","","https://www.youtube.com/channel/ucbxa3m9lt7nnh7gvbiucbzg","",""
16,"badruk.de","info@badruk.de","Business Mail","PH: 088033171, +4988033171","",0,"https://www.facebook.com/pages/gartengestaltung-acbadruk/161631047341715","","","",""
17,"bbw-muenchen.de","-","-","PH: -","",0,"","","","",""
18,"jobs.meinestadt.de","-","-","PH: -","Schools & Education",0,"https://de-de.facebook.com/meinestadt.de/","https://twitter.com/meinestadt_de","","",""
19,"meisterschwarz.de","-","-","PH: -","",0,"","","","",""
20,"pflanzen-koelle.de","-","-","PH: +4971311595111","",527469,"https://www.facebook.com/pflanzenkoelle","","https://www.youtube.com/channel/ucsfavwxqhbugan6xhfhda8w","",""
21,"gartenbau-petermueller.de","info@gartenbau-petermueller.de","Mail.com","PH: ","Software Development",0,"","","","",""
22,"noder-galabau.de","info@noder-galabau.de","Unknown","PH: 08989557385","",0,"https://www.facebook.com/nodergalabau/","","","",""
23,"campus.tum.de","-","-","PH: -","",0,"","","","",""
24,"gaertner-herrmann.de","-","-","PH: -","",0,"","","","",""
