SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"regional.jobb","-","-","PH: -","",0,"","","","",""
2,"rse-stellenangebote.de","-","-","PH: -","",0,"","","","",""
3,"web2.cylex.de","-","-","PH: -","",0,"","","","",""
4,"my-hammer.de","-","-","PH: -","",105021,"","","","",""
5,"facebook.com","-","-","PH: -","Social Media",2,"https://pay.facebook.com/","","","",""
6,"11880.com","-","-","PH: -","",67740,"http://www.facebook.com/11880com","","","",""
7,"jag-handwerk.de","-","-","PH: -","Software Development",0,"","","","",""
8,"dotzler-bauunternehmung.de","-","-","PH: -","",0,"","","","",""
9,"fliesenlegers.online","-","-","PH: -","",0,"","","","",""
10,"superior-bau.de","info@superior-bau.de","Unknown","PH: 08928749908, 089125092310","",0,"","","","",""
11,"diemuenchner.de","-","-","PH: -","",0,"","","","",""
12,"dasoertliche.de","-","-","PH: -","",46472,"https://www.facebook.com/pages/dasortliche/132038165608/","https://twitter.com/dasoertliche/","","",""
13,"jobworld.de","-","-","PH: -","Schools & Education",400905,"","","","",""
14,"bihz.de","kontakt@bihz.de","Hotmail","PH: +4989122232922, +4987143058970","",0,"https://www.facebook.com/handwerkerzentrale/","","","",""
15,"bihz.de","info@bihz.de","Hotmail","PH: +4989122232922, +4987143058970","",0,"https://www.facebook.com/handwerkerzentrale/","","","",""
16,"firmenwissen.de","-","-","PH: -","",207127,"https://de-de.facebook.com/creditreform.deutschland/","https://twitter.com/creditreform","https://www.youtube.com/channel/uc2eqitjl1tnln2lqztxjcrw","https://de.linkedin.com/company/creditreformgruppe",""
17,"marek-trockenbau.de","info@innenundsanierungsbau.de","Unknown","PH: +491623617726","",0,"","","","",""
18,"fliesnix.de","info@fliesnix.de","Unknown","PH: 004917624022567","",0,"","","","",""
19,"ehret-may.de","-","-","PH: -","",0,"","","","",""
20,"der-fliesenleger-profi.de","-","-","PH: 0171/4975059","",0,"","","","",""
21,"jobijoba.de","-","-","PH: -","Schools & Education",0,"http://www.facebook.com/jobijoba.deutschland","http://twitter.com/jobijoba_de","","","http://pinterest.com/jobijobajobs"
22,"fliesengalerie44.de","info@fliesengalerie44.de","Unknown","PH: ","Software Development",0,"https://www.facebook.com/fliesengalerie-44-109921802829231","","","",""
23,"homeservice-muenchen.de","info@homeservice-muenchen.de","Unknown","PH: ","",0,"","","","",""
24,"ibau.de","info@indiantypefoundry.com","Gsuit","PH: +498003344355","",0,"https://www.facebook.com/ibaugmbh","","https://www.youtube.com/channel/ucm7-kvmvzfqeoy47s62oqgw","https://de.linkedin.com/company/ibau-gmbh",""
25,"kimeta.de","mail@kimeta.de","Business Mail","PH: ","Schools & Education",229325,"","","","",""
26,"hellwig-muenchen.de","info@hellwig-muenchen.de","Unknown","PH: ","",0,"","","","",""
27,"fliesen-patzsch.de","-","-","PH: -","",0,"https://www.facebook.com/fliesenleger.patzsch/","","","",""
28,"ellmerboden.de","-","-","PH: -","",0,"https://www.facebook.com/ellmer-handwerke-192650130825544/","https://twitter.com/ellmerhandwerke","","",""
29,"my-sanierung.de","info@my-sanierung.de","Unknown","PH: +4917660822494, +498995456305","",0,"","","","",""
30,"innenausbau-bayern.de","info@innenausbau-bayern.de","Unknown","PH: ","",0,"","","","",""
31,"de.jobsora.com","partner@jobsora.com","Gsuit","PH: ","Schools & Education",0,"","","","",""
32,"de.jobsora.com","pr@jobsora.com","Gsuit","PH: ","Schools & Education",0,"","","","",""
33,"fliesen-boehlke.de","info@fliesen-boehlke.de","Unknown","PH: ","Software Development",0,"https://www.facebook.com/fliesenboehlke/","","","",""
34,"h-schiwietz.de","info@h-schiwietz.de","Business Mail","PH: ","",0,"https://www.facebook.com/h.schiwietz.gmbh","","https://www.youtube.com/channel/ucyu7i6wemx1l2dnvxqnnscg","",""
35,"listl-renovierung.de","info@listl-renovierung.de","Hotmail","PH: ","",0,"","","","",""
36,"mux.de","-","-","PH: -","Restaurants",415884,"","","","",""
37,"bauinnung-muenchen.de","info@bauinnung-muenchen.de","Business Mail","PH: ","",0,"https://de-de.facebook.com/bauinnung.muenchen/","","","",""
38,"ffb-fliesenleger.com","lorenz.fliesen@gmail.com","Gmail","PH: +4981416663044, +491629457720","",0,"https://www.facebook.com/lorenz-fliesen-ausbau-gmbh-1224332507616037","","","",""
39,"ffb-fliesenleger.com","fliesen@gmail.com","Gmail","PH: +4981416663044, +491629457720","",0,"https://www.facebook.com/lorenz-fliesen-ausbau-gmbh-1224332507616037","","","",""
40,"as-innenausbau-muenchen.de","info@as-innenausbau-muenchen.de","Unknown","PH: ","Software Development",0,"","","","",""
41,"houzz.de","-","-","PH: -","",89541,"https://www.facebook.com/houzzde","http://twitter.com/houzzde","https://www.youtube.com/user/houzzde","",""
42,"bau-stellen.de","-","-","PH: -","Schools & Education",0,"","","","",""
43,"bergmann-bad-und-heizung.de","-","-","PH: 08975079123, 01718750482","",0,"","","","",""
44,"helpling.de","kontakt@helpling.de","Gsuit","PH: ","",310286,"https://www.facebook.com/helpling","","","",""
45,"projektbau-sued.de","-","-","PH: -","",0,"","","","",""
46,"jobs-in-muenchen.info","buergerbuero.kvr@muenchen.de","Business Mail","PH: ","Schools & Education",0,"","","","",""
47,"jobs-in-muenchen.info","kvr@muenchen.de","Business Mail","PH: ","Schools & Education",0,"","","","",""
48,"superhause.de","info@superhause.de","Unknown","PH: +49-711-3420-6905","",0,"https://www.facebook.com/superhause-101765705159621/","","","",""
49,"superhause.de","partner@superhause.de","Unknown","PH: +49-711-3420-6905","",0,"https://www.facebook.com/superhause-101765705159621/","","","",""
50,"superhause.de","info@new.superhause.de","Unknown","PH: +49-711-3420-6905","",0,"https://www.facebook.com/superhause-101765705159621/","","","",""
51,"superhause.de","info@new.sup","Unknown","PH: +49-711-3420-6905","",0,"https://www.facebook.com/superhause-101765705159621/","","","",""
52,"1a-fliesenverlegung.de","kontakt@1a-fliesenverlegung.de","Unknown","PH: ","",0,"","","","",""
53,"de.jooble.org","beispiel@mail.de","Business Mail","PH: ","Schools & Education",0,"","","","",""
54,"de.jooble.org","compliance@jooble.com","Business Mail","PH: ","Schools & Education",0,"","","","",""
55,"de.jooble.org","privacy@jooble.com","Business Mail","PH: ","Schools & Education",0,"","","","",""
56,"trockenbau-kudra.de","info@mk-trockenbau.de","Unknown","PH: 00491709671936","",0,"","","","",""
57,"fliesenkonzept-martin.de","info@fliesenkonzept-martin.de","Unknown","PH: 081412459691, 01797802403","",0,"","","","",""
58,"muenchener-fliesenleger.de","kontakt@muenchener-fliesenleger.de","Unknown","PH: 0891234567","",0,"","","","",""
59,"ellindex.de","info@lg-elektrotechnik.de","Hotmail","PH: ","",0,"","","","",""
60,"ellindex.de","info@electric-ts.com","Business Mail","PH: ","",0,"","","","",""
61,"ellindex.de","info@sakis.media","Hotmail","PH: ","",0,"","","","",""
62,"ellindex.de","info@sanodent.de","Business Mail","PH: ","",0,"","","","",""
63,"ellindex.de","info@sonnenschutz-toris.de","Business Mail","PH: ","",0,"","","","",""
