SL#,Domain,Email Address,Email Server,Phone No,Web Category,Majestic Rank,Facebook,Twitter,Youtube,Linkedin,Pinterest
1,"bgpower.de","-","-","PH: +4915774310459","",0,"https://www.facebook.com/bgpower.munchen/","","","",""
2,"web2.cylex.de","-","-","PH: -","",0,"","","","",""
3,"instagram.com","-","-","PH: -","",5,"","","","",""
4,"elektro-eibl.de","info@elektro-eibl.de","Hotmail","PH: ","",0,"","","","",""
5,"elektro-eibl.de","info@ndiscovered.com","Business Mail","PH: ","",0,"","","","",""
6,"manpower.de","-","-","PH: -","",386977,"https://www.facebook.com/manpowerdeutschland","https://twitter.com/manpowergroupde","","https://www.linkedin.com/company/manpowergroup-deutschland/",""
7,"elektrotechnik-bayern-hertz.de","info@elektrotechnik-bayern-hertz.de","Business Mail","PH: ","",0,"https://www.facebook.com/bayern-hertz-elektrotechnik-gmbh","","","",""
8,"nelhiebel.de","info@nelhiebel.de","Unknown","PH: ","",0,"https://www.facebook.com/nelhiebel/","","https://www.youtube.com/channel/ucrwgca5ms5rowvf8k_qdkeq","https://www.linkedin.com/company/nelhiebel-elektrotechnik-gmbh/",""
9,"mbd-technik.de","info@mbd-technik.de","Hotmail","PH: +498938537789","Software Development",0,"https://www.facebook.com/mbd.technik","","","",""
10,"bossmann-muenchen.de","info@bossmann-muenchen.de","Unknown","PH: 080072447374","",0,"","","","",""
11,"check24.de","-","-","PH: -","",21142,"","","","",""
12,"elektroanlagen-abeltshauser.de","thomas.abeltshauser@gmx.net","GMX","PH: ","",0,"","","","",""
13,"elektroanlagen-abeltshauser.de","abeltshauser@gmx.net","GMX","PH: ","",0,"","","","",""
14,"sonepar.de","-","-","PH: -","",441592,"","","","",""
15,"schaller-elektrotechnik.com","-","-","PH: -","",0,"","","","",""
16,"belektro-meisterbetrieb.de","info@belektro-meisterbetrieb.de","Unknown","PH: +4915233639335","",0,"","","","",""
17,"oferteo.de","-","-","PH: -","",0,"https://www.facebook.com/oferteo.de/","https://twitter.com/oferteo_de","","",""
18,"expert.de","-","-","PH: -","",104927,"","","","",""
19,"jobworld.de","-","-","PH: -","Schools & Education",400905,"","","","",""
20,"elektro-technik-koehler.de","-","-","PH: -","",0,"","","","",""
21,"obeta.de","-","-","PH: -","",0,"","","","",""
22,"bosch.de","-","-","PH: +4971140040990","",26020,"https://www.facebook.com/boschglobal","https://www.twitter.com/boschglobal","","https://www.linkedin.com/company/bosch/",""
23,"elektro-tm.de","-","-","PH: -","Software Development",0,"","","","",""
24,"goyellow.de","-","-","PH: -","",106007,"https://www.facebook.com/goyellow","","","",""
25,"emikotech.de","info@emikotech.de","Unknown","PH: +498974045270","",0,"","","","",""
26,"kimeta.de","mail@kimeta.de","Business Mail","PH: ","Schools & Education",229325,"","","","",""
27,"nchen.de","-","-","PH: -","Software Development",0,"","","","",""
28,"atk-elektro.de","info@atk-elektro.de","Business Mail","PH: 0049896411810","",0,"","","","",""
29,"11880.com","-","-","PH: -","",67740,"http://www.facebook.com/11880com","","","",""
30,"elektronotdienstmuenchen.de","info@handwerkervermittlung24.com","Unknown","PH: 08912089220","",0,"","","","",""
31,"elektronotdienstmuenchen.de","service@gmbh-seibel.de","Unknown","PH: 08912089220","",0,"","","","",""
32,"dasoertliche.de","-","-","PH: -","",46472,"https://www.facebook.com/pages/dasortliche/132038165608/","https://twitter.com/dasoertliche/","","",""
